node,name,in_closeness,out_closeness,betweenness
720575940606683228,FB.649,3.254685,3.826391,0.000246
720575940606697858,AOTU.BU.31,1.906071,1.543865,0.0
720575940606723081,FB.593,3.275884,3.294144,0.000578
720575940606731529,FB.712,3.298441,4.437709,0.002253
720575940606734182,FB.218,3.242971,4.082862,1.7e-05
720575940606734258,NO.282,2.024072,1.738984,0.0
720575940606933634,FB.572,2.806136,2.933176,0.00024
720575940606951893,EB.154,0.774995,0.691231,0.0
720575940606958859,FB.SMP.49,1.643292,3.087614,0.00015
720575940607001045,FB.SMP.8,2.608985,2.327256,0.0
720575940607040981,EB.249,1.484005,2.396781,0.0
720575940607246549,EB.297,0.770719,3.63431,0.001282
720575940607250697,NO.36,2.648733,0.389959,1e-06
720575940607263068,NO.FB.127,1.935154,1.743543,0.0
720575940607285001,NO.FB.5,2.848496,1.920982,7e-06
720575940607287305,NO.FB.48,3.994597,3.278372,0.0
720575940607290633,NO.126,2.043852,2.042289,0.0
720575940607309577,FB.534,3.465348,3.70463,0.001109
720575940607330825,NO.81,2.254403,2.179906,0.0
720575940607339971,FB.1341,3.094506,2.969259,0.0
720575940607343829,FB.750,3.284183,4.289883,0.000992
720575940607527381,FB.949,2.996609,3.650171,1e-06
720575940607613707,FB.511,3.184505,2.937965,1e-05
720575940607837707,FB.711,3.316716,4.211658,0.000873
720575940607848649,FB.SMP.5,2.084015,3.924613,0.0
720575940607862217,FB.518,3.095554,3.221219,0.0
720575940607864841,FB.749,3.415136,3.367714,0.0
720575940607938517,FB.710,2.850136,2.24559,0.000334
720575940608014549,FB.995,2.032793,3.875401,0.0
720575940608047299,NO.8,2.766111,1.814131,7e-06
720575940608064707,FB.1381,1.958033,1.212469,0.0
720575940608068035,NO.FB.66,2.673276,1.844954,0.0
720575940608140380,FB.49,4.035295,3.742947,0.000655
720575940608147413,NO.FB.111,2.09768,1.825637,0.0
720575940608179268,FB.678,3.093396,3.782291,0.001122
720575940608185986,FB.839,2.746553,4.484472,0.0
720575940608207317,FB.231,3.018595,2.643821,6e-06
720575940608208835,FB.37,3.15285,4.798183,0.016227
720575940608242756,FB.1054,2.788537,2.669414,0.0
720575940608278620,FB.7,3.397491,4.649129,0.052207
720575940608279747,FB.571,3.017158,3.551285,0.001282
720575940608312924,FB.457,3.537178,3.801318,0.0
720575940608328387,FB.226,3.407395,4.15822,0.000328
720575940608352451,FB.1043,3.078569,2.857638,0.0
720575940608370866,FB.243,3.245618,4.552169,0.000803
720575940608413705,FB.173,3.672815,3.516769,0.0
720575940608434883,FB.748,2.659597,2.037471,0.001601
720575940608480836,FB.256,3.695173,2.427938,0.013765
720575940608548619,FB.339,3.114342,4.003392,0.000212
720575940608702475,FB.465,3.253385,4.711988,8.5e-05
720575940608745006,FB.796,3.417149,3.130881,2.7e-05
720575940608783452,FB.47,3.502743,4.374802,0.005581
720575940608839800,FB.664,2.909575,4.574098,0.017942
720575940608859694,FB.1212,2.6792,2.93535,0.0
720575940608982392,FB.1087,3.186022,3.012575,0.000167
720575940609019512,NO.FB.58,2.681289,1.518624,2e-06
720575940609079854,SMP.FB.15,3.15173,3.188329,0.0
720575940609116740,FB.1369,2.485522,3.447116,0.0
720575940609175758,NO.202,1.572832,0.828595,0.0
720575940609214072,FB.818,3.062514,3.966853,2e-05
720575940609261922,FB.696,3.085276,3.986327,2e-05
720575940609370466,FB.948,3.037332,2.807884,0.000901
720575940609375580,FB.4,3.514871,4.540874,0.054364
720575940609427246,FB.34,3.502864,3.171267,0.002502
720575940609439698,FB.1118,2.569243,2.764667,0.0
720575940609558136,FB.677,3.170601,2.731874,0.000246
720575940609579470,AOTU.FB.22,1.724316,2.051754,0.000987
720575940609604875,FB.MB_ML.10,3.147152,4.316024,0.003326
720575940609648226,AOTU.FB.49,2.171371,2.302568,0.001024
720575940609648942,FB.994,3.505714,3.01545,0.000666
720575940609663442,FB.CRE.4,0.760503,4.501733,0.000155
720575940609716430,AOTU.BU.45,1.796468,1.218423,0.0
720575940609774434,FB.1233,3.065497,3.784026,0.0
720575940609777476,FB.520,3.129225,3.560969,9e-05
720575940609843349,NO.281,1.706242,1.825774,0.0
720575940609913646,FB.582,2.868198,2.2294,5e-05
720575940610051733,CRE.FB.4,3.341323,3.884733,0.0
720575940610069550,FB.329,3.132449,3.834725,0.000395
720575940610070626,SLP.FB.6,2.573636,1.732799,4.2e-05
720575940610095322,FB.1140,2.565805,1.64099,0.000672
720575940610137969,FB.912,3.187463,4.103172,3e-06
720575940610147790,FB.1015,2.916914,3.482,0.0
720575940610151130,FB.1117,3.2418,3.152622,0.0
720575940610160789,FB.817,2.993611,3.95034,6e-06
720575940610161813,FB.1139,2.677436,3.225551,0.0
720575940610165205,CRE.FB.19,3.014969,2.377278,0.0
720575940610177203,NO.68,2.345869,2.357724,5e-06
720575940610178417,NO.61,4.045823,2.007419,0.0
720575940610219715,FB.305,3.25339,4.653094,0.017323
720575940610237394,FB.859,3.20666,2.829896,0.0
720575940610268366,FB.816,3.100007,3.719346,1.7e-05
720575940610306146,FB.983,3.574375,3.12945,0.0
720575940610355186,FB.1340,2.908996,2.989518,0.0
720575940610363059,NO.111,2.876978,1.142489,0.0
720575940610409957,FB.961,2.959778,3.107733,0.0
720575940610440049,FB.676,3.046473,3.792853,7.5e-05
720575940610440371,FB.730,2.676404,2.235738,0.0
720575940610448307,FB.1339,2.97156,3.772557,0.0
720575940610453162,PB.EB.3,0.644965,0.160802,0.0
720575940610477425,FB.1116,2.199382,3.662193,0.0
720575940610505701,EB.165,0.276426,1.719976,0.0
720575940610545561,FB.1380,2.27135,2.35567,0.0
720575940610603214,FB.778,2.65327,1.856523,0.00047
720575940610615269,NO.FB.40,2.409594,2.359553,0.0
720575940610623402,FB.1086,3.03462,3.005591,0.000122
720575940610634725,FB.675,3.026277,4.611613,0.003916
720575940610636773,FB.1069,3.120577,2.955713,0.0
720575940610642289,FB.895,2.636497,3.371109,0.000651
720575940610665445,FB.631,3.005701,3.167314,3e-06
720575940610670250,FB.464,2.984005,4.642004,0.001329
720575940610682261,NO.115,2.524575,2.240386,0.000165
720575940610686938,NO.FB.85,2.016925,2.541751,0.0
720575940610694067,FB.1293,3.277348,2.551564,0.0
720575940610716786,FB.1115,2.262507,2.054322,1.1e-05
720575940610776900,FB.1295,2.224935,3.399204,9e-06
720575940610810482,FB.833,2.83789,2.893101,0.000175
720575940610813682,FB.894,2.913507,3.438463,9.9e-05
720575940610877098,FB.220,3.130149,4.797893,0.003182
720575940610894450,FB.78,3.128415,4.607551,0.009549
720575940610908057,FB.349,3.144195,3.558735,2e-06
720575940610919778,FB.154,3.16575,4.112758,0.000621
720575940610931058,AOTU.FB.28,1.952986,1.60313,0.001973
720575940610973413,SMP.FB.34,3.318782,2.754255,0.0
720575940610974577,LAL.116,1.019467,0.658902,0.0
720575940610980932,FB.8,3.311731,4.404853,0.006049
720575940611006170,FB.1085,3.232235,2.849847,0.00094
720575940611091780,FB.417,3.304759,4.42257,0.003601
720575940611102469,NO.FB.45,2.767423,1.905841,0.0
720575940611117380,FB.1395,2.744579,3.545364,0.0
720575940611181518,FB.MB_ML.9,3.301749,4.643259,0.01055
720575940611185123,FB.795,2.291945,1.841785,2e-05
720575940611210866,FB.1033,2.032895,3.885054,0.0
720575940611211542,FB.947,2.957425,3.464659,4e-06
720575940611216099,EB.44,0.609952,2.025336,0.0
720575940611243690,FB.777,3.158714,3.824466,0.0
720575940611243946,FB.946,3.025369,2.520009,3.1e-05
720575940611263602,FB.832,2.820975,2.601905,1.8e-05
720575940611284659,FB.433,2.849057,3.995628,0.0
720575940611308259,FB.945,2.978935,3.447892,0.0
720575940611363954,FB.1292,3.065465,2.886233,0.0
720575940611376882,FB.1014,2.9621,3.463869,0.00017
720575940611396835,PB.20,3.229923,3.076581,0.0
720575940611415449,FB.124,3.074211,4.114364,0.002516
720575940611419414,FB.1042,2.926328,2.589879,3e-06
720575940611425429,AOTU.FB.46,2.025809,2.70647,0.0
720575940611453041,FB.1032,2.774214,2.873142,0.000164
720575940611468185,FB.944,3.06412,2.544001,0.001733
720575940611475097,FB.1211,2.789853,3.360121,0.0
720575940611527794,NO.34,4.107237,2.759749,0.001653
720575940611550701,FB.1291,2.101447,1.565764,4e-06
720575940611568686,FB.1255,3.23741,2.921669,0.0
720575940611606830,FB.643,2.900205,3.54236,0.0
720575940611612018,NO.FB.57,2.846418,1.910834,3.7e-05
720575940611679461,FB.1068,3.101409,3.048618,2e-06
720575940611718885,FB.519,3.052076,3.83629,0.0
720575940611725738,FB.747,2.357562,3.20624,1.8e-05
720575940611726829,FB.911,3.036751,3.926344,0.0
720575940611758819,FB.1183,2.880093,3.20393,0.0
720575940611851506,FB.1114,1.982036,4.039235,0.0
720575940611904997,FB.456,3.419972,2.133196,0.002718
720575940611912362,FB.1360,2.468876,1.32602,0.0
720575940611939026,PB.FB.6,4.102089,3.669394,0.000806
720575940611963346,FB.237,3.403359,4.172937,0.002547
720575940611964882,EB.38,0.578583,2.409951,0.0
720575940611974354,FB.1338,2.26164,3.172286,0.0
720575940612012566,SMP.FB.41,3.14749,2.590141,0.0
720575940612047853,AOTU.BU.44,1.670572,1.528893,0.0
720575940612053106,FB.502,2.926935,4.032053,4e-06
720575940612107762,FB.411,3.243538,4.043515,4e-06
720575940612109363,FB.1267,2.65088,3.451263,0.0
720575940612122152,FB.910,2.586482,1.764642,8e-06
720575940612131025,FB.960,3.079007,2.960675,2.3e-05
720575940612152930,NO.143,3.04967,2.762486,0.0
720575940612154664,FB.1084,3.122611,3.293832,4.6e-05
720575940612211496,FB.425,2.988283,4.724467,0.000361
720575940612234467,FB.1067,3.224465,2.775783,0.0
720575940612243918,CRE.FB.5,3.110124,3.427918,1.4e-05
720575940612248743,FB.982,3.092528,3.298056,0.0
720575940612248883,NO.FB.126,1.845702,0.797824,0.0
720575940612249651,FB.1266,2.779113,3.085415,0.0
720575940612272424,FB.LAL.46,0.73774,2.934251,0.00076
720575940612286259,FB.362,3.016699,3.88268,0.0
720575940612310824,NO.FB.137,1.772795,1.518969,0.0
720575940612316847,FB.858,2.955086,3.58572,0.000644
720575940612318673,FB.592,3.171938,3.934992,8e-06
720575940612327446,FB.875,3.080835,3.477703,0.0
720575940612330154,FB.30,3.570732,2.967808,0.011462
720575940612334946,FB.723,3.132183,2.680441,3.6e-05
720575940612377775,FB.1031,3.072173,3.05676,0.0
720575940612421101,FB.729,3.345697,2.977793,0.0
720575940612488615,FB.1138,2.88364,3.055731,0.0
720575940612498984,AOTU.CRE.14,1.669953,1.752128,0.0
720575940612585011,FB.893,2.277752,2.603797,0.0
720575940612589735,NO.87,3.848346,0.802579,0.0
720575940612594855,FB.857,2.847487,2.557956,0.0
720575940612599013,FB.408,3.185475,3.309443,0.000757
720575940612599533,FB.510,3.078576,2.997148,1.1e-05
720575940612615917,FB.315,3.157719,2.543446,0.000919
720575940612627058,FB.564,2.946365,4.636694,0.009336
720575940612689645,FB.563,2.850694,2.211779,4.2e-05
720575940612692963,FB.663,3.105676,3.943787,0.001965
720575940612694568,FB.321,2.951399,3.006163,4e-06
720575940612710184,NO.FB.110,2.047345,1.66528,0.0
720575940612712401,NO.236,1.982761,1.673113,0.0
720575940612734066,FB.13,3.794942,3.937619,0.005013
720575940612760994,SMP.FB.20,3.571288,3.636299,0.002684
720575940612765330,NO.161,2.280238,1.672998,0.0
720575940612772077,FB.212,3.156642,3.969328,0.0
720575940612807830,FB.1210,2.914345,3.175645,0.0
720575940612821997,FB.424,2.936431,2.76284,0.00097
720575940612824239,FB.1265,3.207128,2.8448,0.0
720575940612824978,FB.776,2.900514,2.57826,1e-06
720575940612828926,FB.1290,2.872559,2.710218,0.0
720575940612831486,NO.235,1.989364,0.754643,0.0
720575940612851367,FB.309,3.209377,4.29229,5e-06
720575940612852898,FB.927,2.878313,3.316302,0.0
720575940612861842,NO.38,2.443771,1.529384,0.0
720575940612862882,NO.FB.84,2.422741,1.518759,0.0
720575940612869269,EB.7,1.651291,3.583136,0.0
720575940612892306,FB.1264,2.950457,2.496234,0.0
720575940612892670,NO.FB.39,4.221272,3.591424,0.005737
720575940612895650,FB.328,2.855216,4.349324,0.000992
720575940612920466,EB.163,2.375498,0.268172,0.002955
720575940612922339,FB.482,2.979691,2.614962,1.7e-05
720575940612925078,FB.554,3.170624,4.317439,0.0
720575940612937073,EB.111,3.148233,2.031346,2.1e-05
720575940612939154,NO.FB.46,4.013031,3.148471,0.0
720575940612942998,AOTU.FB.19,2.184691,2.350856,0.000214
720575940612972693,FB.500,3.395041,3.913812,0.002128
720575940612973096,FB.794,3.36264,4.3388,0.006017
720575940612979090,EB.183,0.617482,2.641038,0.0
720575940613005937,FB.617,2.98348,4.208942,0.000415
720575940613052200,FB.44,3.357929,4.044339,0.001772
720575940613090710,AOTU.FB.16,2.220307,2.186073,0.000297
720575940613132178,FB.197,3.108672,3.685301,1e-06
720575940613151911,SMP.FB.32,3.129399,2.664579,0.0
720575940613152175,CRE.FB.9,3.124528,3.471917,0.0
720575940613184362,NO.234,2.078974,1.738936,0.0
720575940613200559,CRE.FB.31,3.088365,3.029221,4e-06
720575940613214098,NO.FB.22,4.133544,3.695429,0.002073
720575940613231313,FB.1113,3.012146,3.594116,0.000676
720575940613250735,FB.SMP.7,2.237416,3.954609,0.0
720575940613268370,FB.160,3.033344,4.646213,0.00274
720575940613275311,CRE.FB.16,2.950798,3.639058,0.0
720575940613300722,LAL.FB.2,2.972082,2.020789,0.0
720575940613301471,NO.200,1.976877,1.135842,0.0
720575940613326250,FB.442,2.830629,4.064898,0.000811
720575940613338521,EB.238,1.247027,3.096982,0.00021
720575940613348271,FB.648,2.942323,4.548357,0.000146
720575940613388753,FB.1309,2.911037,2.817066,0.0
720575940613403042,NO.232,1.987665,1.8438,0.0
720575940613429314,FB.943,2.634855,1.846674,0.000522
720575940613434786,NO.101,2.464596,1.965585,0.0
720575940613440479,FB.1182,2.837016,2.435302,3.9e-05
720575940613441442,NO.24,2.718232,0.635439,2e-06
720575940613490841,FB.131,4.233317,3.995051,0.039229
720575940613497490,NO.125,2.612183,1.008913,0.0
720575940613505703,FB.407,2.903794,2.53554,3.9e-05
720575940613550495,FB.225,3.01506,3.51789,0.0
720575940613605698,FB.389,3.210395,4.737102,0.00034
720575940613606041,FB.246,3.325715,3.481388,1e-05
720575940613674663,NO.FB.56,3.951112,3.493985,0.0
720575940613682602,FB.992,2.957445,3.375352,0.0
720575940613704615,FB.224,3.400461,2.466743,0.000293
720575940613711614,FB.758,3.444429,1.906127,9.1e-05
720575940613714430,NO.FB.24,4.074849,3.604299,0.000868
720575940613729695,FB.1013,2.855671,2.53254,0.0
720575940613748895,SMP.FB.43,3.281379,2.207973,0.0
720575940613754527,PB.FB.1,4.218556,3.719099,0.001008
720575940613760927,FB.1263,2.910665,3.241961,0.0
720575940613762207,FB.630,3.150249,3.820426,0.000229
720575940613793302,SLP.FB.17,2.394208,1.757536,3e-06
720575940613818690,SLP.FB.11,3.35599,1.641829,0.0
720575940613829535,FB.LAL.42,0.708724,3.132613,0.000983
720575940613839116,FB.981,2.835839,2.560249,0.0
720575940613842700,FB.1112,2.460349,3.531709,0.0
720575940613958412,NO.77,2.389838,2.136774,0.0
720575940613959180,FB.926,2.963185,3.191137,0.0
720575940613982514,FB.120,3.354105,3.483441,0.017014
720575940614012134,FB.1262,2.961938,3.402055,2.8e-05
720575940614013382,FB.544,3.407636,3.901463,0.000258
720575940614017534,FB.108,3.059423,4.193965,0.012902
720575940614018722,FB.279,3.152708,3.453269,1e-06
720575940614026449,FB.25,3.275552,3.09935,0.003433
720575940614038751,FB.1111,2.318224,1.624743,4e-06
720575940614073315,EB.271,0.771798,3.778294,0.0
720575940614123570,NO.FB.62,2.181518,1.673169,0.0
720575940614154786,FB.223,3.24113,4.341857,0.00243
720575940614174018,FB.909,2.846319,3.400713,0.0
720575940614230499,FB.117,4.263915,4.031842,0.059336
720575940614294175,FB.908,2.156904,4.025161,0.0
720575940614297640,EB.348,0.667641,0.185638,0.0
720575940614298474,FB.533,3.394797,3.784956,5e-06
720575940614298730,SMP.FB.26,3.208843,3.298433,0.0
720575940614308283,FB.814,2.368321,2.748158,4e-06
720575940614336106,FB.629,3.046387,3.243501,0.000812
720575940614337130,FB.695,2.749847,2.307755,4.7e-05
720575940614413106,FB.673,3.003808,3.077929,0.00148
720575940614442090,FB.338,3.107852,4.822305,0.003036
720575940614515398,FB.495,2.94312,3.233583,0.001896
720575940614530098,FB.371,3.087943,4.591534,0.002058
720575940614546911,FB.406,3.121239,4.614741,0.000339
720575940614615557,FB.672,3.023665,3.803101,0.000103
720575940614638011,FB.647,3.215568,2.757869,0.000104
720575940614639035,FB.1053,3.328588,2.006554,0.0
720575940614735558,NO.231,2.142652,1.676236,0.0
720575940614736559,SMP.FB.18,3.429392,3.870931,0.001138
720575940614738956,FB.448,2.925469,4.636679,0.000416
720575940614773032,FB.608,3.128172,2.920442,0.0
720575940614799154,FB.107,3.849791,3.565536,0.0
720575940614837222,FB.1261,2.886227,3.160443,0.0
720575940614900127,NO.86,2.546714,1.688409,0.0
720575940614920379,NO.2,2.886138,1.767239,0.000107
720575940614926475,EB.59,0.761044,0.675568,0.0
720575940614939990,FB.745,2.91543,2.894547,3.8e-05
720575940614966214,FB.285,3.297588,4.366155,0.001912
720575940615018838,FB.813,3.200571,4.037892,0.0
720575940615023628,FB.1393,2.232286,2.768762,0.0
720575940615098683,NO.FB.109,1.938943,1.311751,0.0
720575940615101747,EB.2,2.505731,4.124046,0.037547
720575940615102127,FB.1269,2.852781,2.430499,0.0
720575940615133755,FB.942,2.976614,2.847678,2e-06
720575940615134011,FB.774,3.149116,3.856231,0.0
720575940615177099,EB.140,2.014092,0.227661,0.000984
720575940615183755,NO.FB.25,4.155633,3.604678,0.002299
720575940615193138,FB.599,3.360992,3.929058,0.000847
720575940615220802,NO.56,4.056985,2.526414,0.0
720575940615250235,FB.1181,2.955954,3.071535,0.0
720575940615267933,FB.1260,2.753111,3.822539,0.0
720575940615283771,FB.1331,2.107626,3.294857,0.0
720575940615285919,FB.141,3.163678,4.123321,0.000985
720575940615326779,FB.273,3.037796,4.991764,0.003131
720575940615442315,FB.1392,2.061202,1.830852,0.0
720575940615463825,FB.298,2.800297,4.343736,0.002011
720575940615468703,FB.1162,2.944244,3.434711,0.0
720575940615484633,FB.1289,2.952801,3.563378,0.0
720575940615502130,NO.FB.42,4.19134,3.687263,0.0
720575940615610836,FB.1232,3.095731,3.114888,1.9e-05
720575940615612066,FB.42,3.164966,4.17868,0.002379
720575940615645841,FB.1330,2.98315,3.202794,0.0
720575940615650009,FB.993,2.954689,2.454665,0.0
720575940615654100,NO.FB.41,3.949449,3.376275,0.0
720575940615654715,FB.1259,3.207443,2.89687,0.00113
720575940615661661,NO.144,1.911244,0.921869,0.0
720575940615673949,FB.1052,2.882505,4.174834,0.0
720575940615677780,FB.1083,2.621146,2.952936,0.0
720575940615687380,FB.628,3.369723,4.373477,0.003241
720575940615706966,FB.646,3.350007,2.463238,6e-06
720575940615711745,FB.1110,3.037098,3.294312,0.0
720575940615712468,FB.1307,2.988585,2.394562,5e-06
720575940615742977,NO.FB.93,2.312175,1.460072,0.0
720575940615748025,FB.645,3.190038,2.776003,0.0
720575940615748753,NO.142,2.355133,1.950255,1e-06
720575940615764061,FB.444,2.940883,4.805082,0.001537
720575940615783097,FB.773,3.27037,4.22068,3.1e-05
720575940615785755,FB.1012,3.13625,2.917481,0.000856
720575940615833055,FB.26,3.964868,4.061042,0.004218
720575940615846356,AOTU.FB.10,2.312473,2.612833,0.0
720575940615877410,FB.1180,2.821007,3.078041,0.0
720575940615889638,FB.662,3.068709,3.341498,0.000244
720575940615914613,FB.1011,3.142164,3.044455,0.0
720575940615921803,CRE.FB.36,3.314603,3.109129,0.000314
720575940615929584,FB.438,2.895833,3.886403,3e-06
720575940615935325,AOTU.FB.35,2.179024,2.406229,0.000987
720575940615957853,FB.1041,2.917305,3.043447,1e-06
720575940615961739,FB.1066,2.960484,3.248633,0.000986
720575940615965323,FB.616,3.126404,3.948077,0.001627
720575940615973771,NO.33,4.048971,2.079124,0.0
720575940615976861,AOTU.FB.18,2.337085,2.429142,0.0
720575940615985449,FB.855,3.080086,2.688687,5.9e-05
720575940616005009,FB.380,3.125169,3.077609,7.8e-05
720575940616027037,FB.892,3.137322,2.817181,0.0
720575940616040148,FB.437,3.364446,4.471618,0.000281
720575940616072861,FB.1350,2.114483,3.106223,0.0
720575940616097093,FB.155,3.288527,4.604828,0.006752
720575940616103254,FB.772,3.310935,4.294349,0.004143
720575940616199892,CRE.FB.23,3.044358,2.48193,2e-06
720575940616200298,FB.792,2.613265,1.947998,0.000571
720575940616204091,FB.728,3.264732,3.806908,0.000374
720575940616205083,EB.293,0.76829,3.30778,0.0
720575940616218452,FB.661,2.971408,3.764376,0.0
720575940616221401,FB.1306,2.363976,2.457207,0.000951
720575940616231252,FB.812,3.057842,3.990534,0.0
720575940616267348,FB.1329,2.28513,3.425692,0.0
720575940616287377,NO.229,1.853406,1.212477,0.0
720575940616323101,FB.941,2.610319,2.79416,2e-06
720575940616324386,FB.1065,3.105668,2.982425,0.000818
720575940616330267,FB.491,3.416827,4.087462,0.002929
720575940616377659,FB.261,2.812643,3.075006,0.003349
720575940616400704,FB.727,2.308826,1.766149,3.4e-05
720575940616410171,FB.56,3.250344,4.764204,0.01653
720575940616440537,FB.660,2.684128,2.342721,0.0
720575940616445250,EB.285,0.435573,3.779558,0.000709
720575940616470417,FB.1108,3.25967,3.041185,0.0
720575940616502175,EB.GA.1,0.423873,1.374791,0.0
720575940616511813,FB.409,3.443531,3.766826,0.000575
720575940616520517,FB.708,2.71309,2.963218,2e-06
720575940616543745,NO.47,3.986281,2.239327,0.0
720575940616545793,FB.28,3.628621,3.201668,0.010294
720575940616571682,NO.152,2.538381,1.847915,0.0
720575940616586077,FB.891,3.108053,3.479761,0.0
720575940616617245,FB.581,2.925751,4.664248,0.000601
720575940616617940,FB.113,3.191273,4.572314,0.004521
720575940616657989,FB.543,2.919417,4.690153,0.002101
720575940616728038,FB.146,4.193846,3.999474,0.020848
720575940616764731,FB.LAL.40,1.91288,3.007635,0.000176
720575940616811584,FB.726,3.374394,2.923741,0.000154
720575940616813858,FB.MB_ML.8,3.134633,4.412314,0.00275
720575940616819345,FB.342,3.108382,4.363888,3.3e-05
720575940616824118,FB.27,3.525458,3.306682,0.010887
720575940616826409,FB.853,2.909562,3.244178,6e-06
720575940616828201,FB.940,2.912264,2.897352,6.8e-05
720575940616828969,FB.570,3.077063,3.812273,0.000305
720575940616829481,FB.644,2.776354,2.920193,9.2e-05
720575940616839654,FB.1082,2.90942,2.323936,2.7e-05
720575940616842141,NO.60,2.537925,2.241145,1.1e-05
720575940616855074,NO.59,2.501233,0.482398,0.0
720575940616856645,FB.607,3.123412,3.714865,0.000145
720575940616884765,NO.186,1.929156,1.846902,0.0
720575940616885824,FB.LAL.44,0.708713,3.341614,0.002907
720575940616891698,EB.307,1.254056,2.551991,0.0
720575940616896581,FB.1209,2.641183,3.16615,0.0
720575940616913339,FB.SMP.1,3.037239,2.289542,0.0
720575940616956673,FB.219,2.811115,4.348542,0.005438
720575940616966557,NO.44,3.931171,1.883353,0.0
720575940616967508,FB.447,2.927666,4.637465,0.003429
720575940616968733,FB.284,2.999249,4.864801,0.002036
720575940616973313,FB.489,3.128951,4.430708,5.9e-05
720575940616983862,FB.443,3.12292,2.768566,0.000538
720575940617047297,SMP.FB.12,3.207322,3.70839,0.000238
720575940617068066,FB.1349,2.59395,2.358042,0.0
720575940617073876,FB.1404,2.894501,2.695643,0.0
720575940617077533,FB.517,3.455834,3.601848,0.001603
720575940617155742,FB.569,3.009716,3.164284,0.000989
720575940617172436,AOTU.FB.3,2.362059,2.344639,0.001972
720575940617178369,FB.1368,2.005518,3.265871,0.0
720575940617180955,FB.SMP.6,2.850549,2.333537,0.0
720575940617187329,EB.334,1.047882,2.359725,0.0
720575940617193886,FB.1287,3.177926,1.755682,0.0
720575940617211968,FB.979,2.775955,2.697643,0.0
720575940617225565,FB.100,3.44272,3.953423,0.00103
