Source,Target,Type
106,85,Directed
116,85,Directed
118,85,Directed
91,86,Directed
90,87,Directed
66,88,Directed
71,88,Directed
72,88,Directed
87,88,Directed
89,88,Directed
96,88,Directed
71,89,Directed
72,89,Directed
86,89,Directed
88,89,Directed
72,90,Directed
86,90,Directed
87,90,Directed
86,91,Directed
111,91,Directed
73,92,Directed
74,92,Directed
117,95,Directed
88,96,Directed
89,96,Directed
8,97,Directed
89,97,Directed
89,98,Directed
94,99,Directed
28,100,Directed
79,100,Directed
80,100,Directed
8,101,Directed
29,101,Directed
65,101,Directed
79,101,Directed
80,101,Directed
96,101,Directed
28,102,Directed
66,102,Directed
79,102,Directed
80,102,Directed
97,102,Directed
117,102,Directed
29,103,Directed
79,103,Directed
80,103,Directed
116,103,Directed
29,112,Directed
92,112,Directed
103,112,Directed
28,113,Directed
92,113,Directed
102,113,Directed
95,114,Directed
100,114,Directed
95,115,Directed
101,115,Directed
71,116,Directed
72,116,Directed
118,116,Directed
71,117,Directed
72,117,Directed
71,118,Directed
72,118,Directed
85,118,Directed
86,118,Directed
116,118,Directed
53,119,Directed
81,119,Directed
87,119,Directed
93,119,Directed
82,120,Directed
91,120,Directed
92,120,Directed
94,120,Directed
128,120,Directed
81,121,Directed
93,121,Directed
94,121,Directed
95,121,Directed
56,122,Directed
82,122,Directed
90,122,Directed
94,122,Directed
95,122,Directed
30,123,Directed
49,123,Directed
55,123,Directed
76,123,Directed
87,123,Directed
106,123,Directed
113,123,Directed
125,123,Directed
31,124,Directed
50,124,Directed
56,124,Directed
62,124,Directed
76,124,Directed
88,124,Directed
89,124,Directed
104,124,Directed
107,124,Directed
112,124,Directed
126,124,Directed
26,125,Directed
30,125,Directed
34,125,Directed
39,125,Directed
71,125,Directed
75,125,Directed
27,126,Directed
30,126,Directed
31,126,Directed
35,126,Directed
70,126,Directed
72,126,Directed
76,126,Directed
82,126,Directed
89,126,Directed
107,126,Directed
35,127,Directed
73,127,Directed
87,127,Directed
90,127,Directed
116,127,Directed
117,127,Directed
34,128,Directed
35,128,Directed
74,128,Directed
86,128,Directed
91,128,Directed
116,128,Directed
117,128,Directed
31,129,Directed
35,129,Directed
57,129,Directed
71,129,Directed
73,129,Directed
78,129,Directed
86,129,Directed
91,129,Directed
110,129,Directed
118,129,Directed
28,130,Directed
34,130,Directed
58,130,Directed
72,130,Directed
74,130,Directed
86,130,Directed
87,130,Directed
90,130,Directed
110,130,Directed
111,130,Directed
