Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,betweenesscentrality,modularity_class,x,y
34,AVEL,2,19,21,2,19,21,0.427007,259.426777,1,0.082885,0.002214
73,RIBL,9,13,22,9,13,22,0.346154,485.349569,1,0.070342,0.004427
79,RIML,11,8,19,11,8,19,0.347181,509.894416,1,0.064439,0.00246
80,RIMR,12,8,20,12,8,20,0.347181,795.907933,1,0.066868,0.003429
100,SAADL,3,3,6,3,3,6,0.302326,197.593634,1,0.07772,0.009346
9,AINL,7,0,7,7,0,7,0,0,0,0.06198,-0.006149
14,ASEL,6,6,12,6,6,12,0.22807,156.911675,0,0.069112,0.000492
17,ASGR,2,3,5,2,3,5,0.254902,203.901694,0,0.080095,-0.010287
47,BAGL,6,1,7,6,1,7,1,7.085317,1,0.112891,0.000492
74,RIBR,5,10,15,5,10,15,0.322314,967.889515,4,0.071032,0.005144
48,BAGR,5,5,10,5,5,10,0.257709,81.927441,1,0.114631,0.003184
77,RID,1,1,2,1,1,2,0.160494,5.9,0,0.09871,-0.016411
20,ASIL,6,1,7,6,1,7,0.217069,61.226841,0,0.076982,-0.012789
35,AVER,2,20,22,2,20,22,0.417857,198.583584,1,0.084014,0.003184
78,RIH,23,10,33,23,10,33,0.301546,2910.496604,2,0.079934,0.009592
113,SMBDR,3,6,9,3,6,9,0.2925,194.9945,4,0.057316,0.016901
89,RMDR,4,16,20,4,16,20,0.388704,330.055307,3,0.087933,0.005144
45,AWCL,5,5,10,5,5,10,0.231225,116.629514,0,0.078458,0.004919
21,ASIR,5,0,5,5,0,5,0,0,0,0.077156,-0.011757
22,ASJL,1,1,2,1,1,2,0.183099,0,0,0.063455,0.006641
25,ASKR,3,1,4,3,1,4,1,122,0,0.088668,-0.009553
23,ASJR,1,0,1,1,0,1,0,0,0,0.062704,0.009063
40,AVL,1,2,3,1,2,3,0.29471,0.5,1,0.06099,0.009063
36,AVHL,11,2,13,11,2,13,0.213504,173.040344,1,0.072063,-0.008608
41,AWAL,5,0,5,5,0,5,0,0,0,0.077966,-0.002951
49,CEPDL,16,3,19,16,3,19,0.25,577.623777,2,0.094199,-0.016233
53,IL1DL,3,4,7,3,4,7,0.208929,67.923044,2,0.12814,-0.014511
55,IL1L,8,5,13,8,5,13,0.218284,121.095249,3,0.126419,-0.000984
65,OLLL,15,3,18,15,3,18,0.257709,599.059773,3,0.128632,-0.006149
67,OLQDL,3,5,8,3,5,8,0.267123,302.452285,2,0.122729,-0.015987
90,RMDVL,3,13,16,3,13,16,0.36,347.575011,3,0.094199,-0.002951
99,RMHR,1,3,4,1,3,4,0.257642,5.859235,4,0.072257,0.010042
105,SIADR,0,2,2,0,2,2,0.303342,0,2,0.06148,0.014941
119,URADL,4,2,6,4,2,6,0.204188,1.666667,2,0.131338,-0.012052
123,URBL,8,1,9,8,1,9,0.200342,40.925,3,0.121008,-0.002951
127,URYDL,6,2,8,6,2,8,0.223709,0.666667,3,0.125681,-0.012052
50,CEPDR,16,4,20,16,4,20,0.268966,482.109981,4,0.096016,-0.012492
54,IL1DR,2,4,6,2,4,6,0.261745,5.304794,4,0.126878,-0.010042
56,IL1R,10,6,16,10,6,16,0.308707,315.742538,4,0.124184,0.002449
68,OLQDR,5,4,9,5,4,9,0.26,296.042969,4,0.121734,-0.012247
86,RMDDL,1,17,18,1,17,18,0.387622,14.982433,3,0.07895,0.009346
91,RMDVR,2,13,15,2,13,15,0.380192,105.028824,4,0.09724,-0.00196
98,RMHL,1,2,3,1,2,3,0.218284,1.750887,2,0.073047,0.0091
104,SIADL,0,4,4,0,4,4,0.327778,0,3,0.068374,0.010822
120,URADR,5,2,7,5,2,7,0.213894,8.729834,4,0.124919,-0.008328
124,URBR,11,2,13,11,2,13,0.213115,25.186907,4,0.122224,-0.001225
128,URYDR,7,2,9,7,2,9,0.214679,57.23244,4,0.130552,-0.009553
51,CEPVL,12,2,14,12,2,14,0.248936,324.04142,2,0.10748,0.011314
57,IL1VL,4,5,9,4,5,9,0.242236,190.227817,2,0.129124,0.011806
106,SIAVL,0,4,4,0,4,4,0.308901,0,3,0.051896,0.014019
121,URAVL,4,2,6,4,2,6,0.209677,3.631818,2,0.11658,0.009346
52,CEPVR,14,3,17,14,3,17,0.315364,1141.717187,4,0.105079,0.014941
58,IL1VR,4,5,9,4,5,9,0.25885,22.590394,4,0.112182,0.013227
64,IL2VR,10,3,13,10,3,13,0.245798,206.402985,4,0.126878,0.012247
70,OLQVR,8,5,13,8,5,13,0.27791,361.54438,4,0.114386,0.007593
82,RIPR,1,10,11,1,10,11,0.291045,179.055938,4,0.121,-0.003184
84,RIVL,8,3,11,8,3,11,0.323204,154.883935,3,0.073047,-0.0182
87,RMDDR,1,14,15,1,14,15,0.370253,50.669211,3,0.077156,0.012247
107,SIAVR,0,4,4,0,4,4,0.264574,0,4,0.054621,0.011267
122,URAVR,5,3,8,5,3,8,0.245798,6.446255,4,0.113406,0.011267
88,RMDL,6,14,20,6,14,20,0.373802,654.746456,3,0.087312,0.005165
94,RMER,0,13,13,0,13,13,0.299748,0,4,0.112917,-0.000245
93,RMEL,0,9,9,0,9,9,0.273782,0,2,0.112645,-0.002951
129,URYVL,10,1,11,10,1,11,0.195326,114.497117,2,0.1215,0.002214
59,IL2DL,8,0,8,8,0,8,0,0,2,0.136748,-0.015741
60,IL2DR,9,0,9,9,0,9,0,0,4,0.13741,-0.013961
92,RMED,2,5,7,2,5,7,0.256579,291.556557,4,0.115597,-0.017954
61,IL2L,11,0,11,11,0,11,0,0,2,0.131583,-0.002951
95,RMEV,1,10,11,1,10,11,0.308707,118.922619,2,0.094056,0.017391
125,URXL,6,3,9,6,3,9,0.212341,54.704063,1,0.092231,-0.011806
62,IL2R,10,3,13,10,3,13,0.268349,272.142026,4,0.130307,-0.000735
63,IL2VL,10,1,11,10,1,11,0.215074,61.721032,2,0.134043,0.013035
101,SAADR,6,5,11,6,5,11,0.331445,1004.858296,3,0.07838,0.011512
117,SMDDR,2,13,15,2,13,15,0.386139,348.244302,3,0.070787,0.014696
118,SMDVR,5,10,15,5,10,15,0.39,141.125582,3,0.093811,-0.004899
110,SIBVL,0,3,3,0,3,3,0.214545,0,2,0.074277,0.010084
111,SIBVR,0,3,3,0,3,3,0.283019,0,4,0.073237,0.009798
108,SIBDL,0,1,1,0,1,1,0.216117,0,2,0.079688,0.006887
109,SIBDR,0,1,1,0,1,1,0.218924,0,4,0.07985,0.007348
85,RIVR,10,3,13,10,3,13,0.3241,160.123619,3,0.076176,-0.016901
97,RMFR,2,4,6,2,4,6,0.282609,15.585317,1,0.071277,0.012247
130,URYVR,10,1,11,10,1,11,0.232604,51.51087,3,0.121,0.007103
102,SAAVL,6,3,9,6,3,9,0.27791,163.681024,1,0.094445,-0.005903
103,SAAVR,4,3,7,4,3,7,0.271462,37.168116,1,0.094546,-0.002694
96,RMFL,2,2,4,2,2,4,0.275294,4.572796,3,0.069112,0.012789
